Brand,Product,UserName,SkinCond_Age,Recommend,PostDate,Review,Rating
Hada Labo,Perfect 3D Gel,saffanazian,"Oily, 19 - 24",saffanazian recommends this product!,15 hours ago,"udah pake 6 botol , teksturnya unik lebih kaya tekstur gel yang ga terlalu kentel. di wajah lembab bangt dan ga lengket, harga masih tergolong murah banget dih dengan kualitas se keren ini,tapi sebel banget sama kemasannya aga jadul dan gampang tumpah",5
Hada Labo,Perfect 3D Gel,nadh_,"Normal, 19 - 24",nadh_ recommends this product!,a day ago,"Aku pake ini buat night creamku. Ini bener2 bikin mukaku hydrate banget! Apalagi kalau malem yg kena AC bisa bikin kering, jd penting bgt moisturizer malam. Texturnya emang beda, gel gitu, jd pas dipake awalnya kayak agak lengket tp cepet resep. Kandungannya ada segala ... Read more",5
Hada Labo,Perfect 3D Gel,Ismawf,18 and Under,Ismawf doesn't recommend this product!,2 days ago,Sya cocok sama semua produk hadalabo tapi kecuali produk ini. Padahal bagus bgt produknyaaa banyak yanh cocok juga dan bagus2 efeknya. Cuma karna ga cocok sama kandungan arbutinnya spertinya jadi klo pake ada bruntusan. Mau PRELOVED aja. Baru dipake beberapa kali aja ka ... Read more,3
Hada Labo,Perfect 3D Gel,denishaap,"Normal, 19 - 24",denishaap recommends this product!,3 days ago,"alhamdulillah cocok xx dikulitku yang suka rewel tiba” ini, nnti misalnya kan klo lagi muncul bruntusan ato jerawat kecil” dia bisa calming di aku, dulu sempet gk cocok bikin breakout dikit tp aku penasaran+sayang klo ga dipake jd pake lagi pake truss eh lama” kok jd en ... Read more",5
Hada Labo,Perfect 3D Gel,kifa,"Combination, 30 - 34",kifa recommends this product!,10 Sep 2020,iseng beli nyobain ini dan wowww bekas jerawat bisa pudar. terus ga ada bruntusan lagi di dahi. ngelembabin juga. cuma ya di aku yg tipe kulit kombinasi ini tekstur nya pas awal apply agak lengket. cuma udah agak lama udah ga berasa apa apa aja,4
Hada Labo,Perfect 3D Gel,yulidangta,"Combination, 30 - 34",yulidangta recommends this product!,10 Sep 2020,"Biasanya untuk moisturaizernya aku pakai series hada labo yg shirojyun karena emang cocok, kulitnya jd cerahan dan gak bikin jerawatan. dan akhirnya pengen nyoba donk yg perfect 3D gel karena penasaran, baru pertama kali nyoba moisturizer yg teksturnya gel. enak sih apa ... Read more",4
Hada Labo,Perfect 3D Gel,rasyaadya,"Normal, 19 - 24",rasyaadya recommends this product!,09 Sep 2020,"Beli ini karena kemarin ada fungal acne, alhamdulillah pake ini hempas lah mereka semua. Bagus sih ini gel moisturizernya, efek lembab dan mencerahkannya dapet bgt. Udah gitu kalo dipake malem, paginya jadi glowing. Tapi karena aku super picky dan punya kriteria sendiri ... Read more",4
Hada Labo,Perfect 3D Gel,vinkaalberta,"Dry, 19 - 24",vinkaalberta recommends this product!,08 Sep 2020,"waktu itu iseng nanya ke sog hada labo, moisturizer buat kulit kering bagusnya yang apa, trus direkomennya ini. Pas pertama pake kaget sih karna gel gel gitu dan jalau kering dia lengket sebenernya, tapi menurutku dia bagus banget buat dijadiin base makeup karna bakal n ... Read more",4
Hada Labo,Perfect 3D Gel,Briana14,"Combination, 25 - 29",Briana14 recommends this product!,07 Sep 2020,"Mauuuu preeloveeeed baru banget beli pake juga baru 4 hariann ga cocok muncul jerawat kecill di jidat, ada yg light lotion jugaaa sm yg pinkkk.. yg mau bisa wa aku yaaa bisa shopee Jugaa 082137400110 plisss sayang bgt soalnya masih banykkkk bgttt",3
Hada Labo,Perfect 3D Gel,willysrimulya,"Combination, 25 - 29",willysrimulya doesn't recommend this product!,06 Sep 2020,Masih dalam rangka pencarian moisturizer dan pilihan jatuh ke hadalabo ini tapi ternyata ga cocok juga. Efeknya bukan beruntusan lagi tapi bikin muncul jerawat gede-gede. Emang ga pernah jodoh sama hadalabo ini ya,3
