,Brand,Product,UserName,Recommend,PostDate,Review,Rating,SkinCond,Age,positivity,clean_text
0,Hada Labo,Perfect 3D Gel,saffanazian,Recommend,2020-09-18,"udah pake 6 botol , teksturnya unik lebih kaya tekstur gel yang ga terlalu kentel. di wajah lembab bangt dan ga lengket, harga masih tergolong murah banget dih dengan kualitas se keren ini,tapi sebel banget sama kemasannya aga jadul dan gampang tumpah",5,Oily,19 - 24,1,udah pake botol tekstur unik kaya tekstur gel ga kentel wajah lembab bangt ga lengket harga golong murah banget dih kualitas keren initapi sebel banget kemas aga jadul gampang tumpah
1,Hada Labo,Perfect 3D Gel,nadh_,Recommend,2020-09-17,"Aku pake ini buat night creamku. Ini bener2 bikin mukaku hydrate banget! Apalagi kalau malem yg kena AC bisa bikin kering, jd penting bgt moisturizer malam. Texturnya emang beda, gel gitu, jd pas dipake awalnya kayak agak lengket tp cepet resep. Kandungannya ada segala ... Read more",5,Normal,19 - 24,1,pake night creamku bener bikin muka hydrate banget malem yg kena ac bikin kering jd bgt moisturizer malam texturnya emang beda gel gitu jd pas dipake kayak lengket tp cepet resep kandung read more
2,Hada Labo,Perfect 3D Gel,Ismawf,Not Recommend,2020-09-16,Sya cocok sama semua produk hadalabo tapi kecuali produk ini. Padahal bagus bgt produknyaaa banyak yanh cocok juga dan bagus2 efeknya. Cuma karna ga cocok sama kandungan arbutinnya spertinya jadi klo pake ada bruntusan. Mau PRELOVED aja. Baru dipake beberapa kali aja ka ... Read more,3,,18 and Under,0,sya cocok produk hadalabo kecuali produk bagus bgt produknyaaa yanh cocok bagus efek karna ga cocok kandung arbutinnya spertinya klo pake bruntusan preloved aja dipake kali aja ka read more
3,Hada Labo,Perfect 3D Gel,denishaap,Recommend,2020-09-15,"alhamdulillah cocok xx dikulitku yang suka rewel tiba” ini, nnti misalnya kan klo lagi muncul bruntusan ato jerawat kecil” dia bisa calming di aku, dulu sempet gk cocok bikin breakout dikit tp aku penasaran+sayang klo ga dipake jd pake lagi pake truss eh lama” kok jd en ... Read more",5,Normal,19 - 24,1,alhamdulillah cocok xx kulit suka rewel nnti klo muncul bruntusan ato jerawat calming sempet gk cocok bikin breakout dikit tp penasaransayang klo ga dipake jd pake pake truss eh jd en read more
4,Hada Labo,Perfect 3D Gel,kifa,Recommend,2020-09-10,iseng beli nyobain ini dan wowww bekas jerawat bisa pudar. terus ga ada bruntusan lagi di dahi. ngelembabin juga. cuma ya di aku yg tipe kulit kombinasi ini tekstur nya pas awal apply agak lengket. cuma udah agak lama udah ga berasa apa apa aja,4,Combination,30 - 34,1,iseng beli nyobain wowww bekas jerawat pudar ga bruntusan dahi ngelembabin ya yg tipe kulit kombinasi tekstur nya pas apply lengket udah udah ga asa aja
5,Hada Labo,Perfect 3D Gel,yulidangta,Recommend,2020-09-10,"Biasanya untuk moisturaizernya aku pakai series hada labo yg shirojyun karena emang cocok, kulitnya jd cerahan dan gak bikin jerawatan. dan akhirnya pengen nyoba donk yg perfect 3D gel karena penasaran, baru pertama kali nyoba moisturizer yg teksturnya gel. enak sih apa ... Read more",4,Combination,30 - 34,1,moisturaizernya pakai series hada labo yg shirojyun emang cocok kulit jd cerah gak bikin jerawat ken nyoba donk yg perfect d gel penasaran kali nyoba moisturizer yg tekstur gel enak sih read more
6,Hada Labo,Perfect 3D Gel,rasyaadya,Recommend,2020-09-09,"Beli ini karena kemarin ada fungal acne, alhamdulillah pake ini hempas lah mereka semua. Bagus sih ini gel moisturizernya, efek lembab dan mencerahkannya dapet bgt. Udah gitu kalo dipake malem, paginya jadi glowing. Tapi karena aku super picky dan punya kriteria sendiri ... Read more",4,Normal,19 - 24,1,beli kemarin fungal acne alhamdulillah pake hempas bagus sih gel moisturizernya efek lembab cerah dapet bgt udah gitu kalo dipake malem pagi glowing super picky kriteria read more
7,Hada Labo,Perfect 3D Gel,vinkaalberta,Recommend,2020-09-08,"waktu itu iseng nanya ke sog hada labo, moisturizer buat kulit kering bagusnya yang apa, trus direkomennya ini. Pas pertama pake kaget sih karna gel gel gitu dan jalau kering dia lengket sebenernya, tapi menurutku dia bagus banget buat dijadiin base makeup karna bakal n ... Read more",4,Dry,19 - 24,1,iseng nanya sog hada labo moisturizer kulit kering bagus trus direkomennya pas pake kaget sih karna gel gel gitu jalau kering lengket sebenernya bagus banget dijadiin base makeup karna n read more
8,Hada Labo,Perfect 3D Gel,Briana14,Recommend,2020-09-07,"Mauuuu preeloveeeed baru banget beli pake juga baru 4 hariann ga cocok muncul jerawat kecill di jidat, ada yg light lotion jugaaa sm yg pinkkk.. yg mau bisa wa aku yaaa bisa shopee Jugaa 082137400110 plisss sayang bgt soalnya masih banykkkk bgttt",3,Combination,25 - 29,0,mauuuu preeloveeeed banget beli pake hariann ga cocok muncul jerawat kecill jidat yg light lotion jugaaa sm yg pinkkk yg wa yaaa shopee jugaa plisss sayang bgt banykkkk bgttt
9,Hada Labo,Perfect 3D Gel,willysrimulya,Not Recommend,2020-09-06,Masih dalam rangka pencarian moisturizer dan pilihan jatuh ke hadalabo ini tapi ternyata ga cocok juga. Efeknya bukan beruntusan lagi tapi bikin muncul jerawat gede-gede. Emang ga pernah jodoh sama hadalabo ini ya,3,Combination,25 - 29,0,rangka cari moisturizer pilih jatuh hadalabo nyata ga cocok efek beruntus bikin muncul jerawat gedegede emang ga jodoh hadalabo ya
10,Hada Labo,Perfect 3D Gel,SherayA,Recommend,2020-09-05,"seneng pake ini!karna dia bantu calming kulit agar tidak merah & meredakan ukuran jerawat yg ada, aku pake di malam hari, bangun2 selalu terlihat ada perubahan! luv. utk tekstur dia lengket &kentel, dia juga ga berbau. skrg isinya udh abisss",4,Dry,19 - 24,1,neng pake inikarna bantu calming kulit merah reda ukur jerawat yg pake malam bangun lihat ubah luv utk tekstur lengket kentel ga bau skrg isi udh abisss
11,Hada Labo,Perfect 3D Gel,skincareforia,Recommend,2020-09-03,"aku pake ini langsung auto glowing! dan tiap pagi habis bangun tidur, kulitku masih lembab dan kerasa smooth. ini juga oke dipake sebelum pake makeup, bikin tambah nampol dan nggak geser. Teksturnya gampang diratain, konsistensinya berubah jadi lebih cair. di aku emg bu ... Read more",5,Combination,19 - 24,1,pake langsung auto glowing pagi habis bangun tidur kulit lembab smooth oke dipake pake makeup bikin nampol nggak geser tekstur gampang diratain konsistensi ubah cair emg bu read more
12,Hada Labo,Perfect 3D Gel,draning,Not Recommend,2020-09-02,"Ngabisin 1 jar dan pake tipis-tipis tiap malem selama hampir 1,5bulan. Lembap but afterusednya super duper tacky.... dan kerasa ga menyerap produknya meski uda lewat semaleman, bangun pagi masih lengket dan jadi ada lapisan tipis gitu yg kalo digosok kayak daki 😹 tapi ... Read more",2,Dry,19 - 24,-1,ngabisin jar pake tipistipis malem lembap but afterusednya super duper tacky ga serap produk uda maleman bangun pagi lengket lapis tipis gitu yg kalo gosok kayak daki  read more
13,Hada Labo,Perfect 3D Gel,salmonvsmakeup,Recommend,2020-09-02,"wow, ini aneh bat kek slime wkwkkw unch ugha teksturenya, ini GLOWING bat kalo dipake but ga lengket, ahhh luvvvv. harganya ga mahal karna dipake lama ga abis abis. gabuat breakout, ga bruntusan. moisture banget tapi langsup nyerep ga kayak pake apa apa recommend? coba ... Read more",5,Oily,19 - 24,1,wow aneh bat kek slime wkwkkw unch ugha teksturenya glowing bat kalo dipake but ga lengket ahhh luvvvv harga ga mahal karna dipake ga abis abis gabuat breakout ga bruntusan moisture banget langsup nyerep ga kayak pake recommend coba read more
14,Hada Labo,Perfect 3D Gel,aghniagputri,Recommend,2020-09-02,Produk the best banget jatuh cinta sama ini produk gak tau mau bilang apa lagi tiap pagi sama malem sllu aku pake sblm pake day cream hasilnya sebagus itu tuhaaan ❤️❤️❤️ karena waktu di kaish itu barang endorse tapi ternyata aku jatuh cinta banget,5,Oily,19 - 24,1,produk the best banget jatuh cinta produk gak tau bilang pagi malem sllu pake sblm pake day cream hasil bagus tuhaaan  kaish barang endorse nyata jatuh cinta banget
15,Hada Labo,Perfect 3D Gel,Nirmala16,Recommend,2020-09-01,"mau preloved aja, sebenrnya aku jadiin mois malem aku, sebenernya enak banget, bangun pagi muka jadi terlihat dewy dan halus aja gitu, ga bikin bo dan minyakan. melembabkan sekali. tapi aku ga suka sama kesan awalnya yang lengket jadi mau preloved in murah aja, isi masi ... Read more",4,,,1,preloved aja sebenrnya jadiin mois malem sebenernya enak banget bangun pagi muka lihat dewy halus aja gitu ga bikin bo minyak melembabkan ga suka kesan lengket preloved in murah aja isi mas read more
16,Hada Labo,Perfect 3D Gel,Shafakhrnnisa24,Not Recommend,2020-08-30,"Awalnya tertarik bgt karna dia bentuknya gel dan harusnya cocok bgt di skin type yg oily. Tapi menurut aku ini malahan tipe gel nya yg agak thick dan mirip jelly gitu, jadi pas di aplikasiin di muka tu kayak berasa lengket gitu. Dan bener aja abis pake ini malah timbul ... Read more",3,Oily,19 - 24,0,tarik bgt karna bentuk gel cocok bgt skin type yg oily tipe gel nya yg thick jelly gitu pas aplikasiin muka tu kayak asa lengket gitu bener aja abis pake timbul read more
17,Hada Labo,Perfect 3D Gel,dyahfebri,Recommend,2020-08-30,"Ini harusnya jadi moisturizer kesayangan oily skin typ, karena dia come with gel texture. Tapi gatau kenapa aku ga begitu suka karena lumayan lengket after usenya. Overall dia bagus buat sleeping mask, contains niacinamide juga, kalo dipake rutin dan sabar bisa ilangin ... Read more",4,Combination,19 - 24,1,moisturizer sayang oily skin typ come with gel texture gatau ga suka lumayan lengket after usenya overall bagus sleeping mask contains niacinamide kalo dipake rutin sabar ilangin read more
18,Hada Labo,Perfect 3D Gel,Sanym_,Recommend,2020-08-29,"katanya produk ini tuh bagus banget buat ngelembabin gtu, tp dimuka aku gak cocok malah timbul jerawat. btw kulit aku sensitif banget.. aku beli sekitar 90 an sekrng mau preloved baru pake 2x aku juga ada shopee kok. 60k aja serius:(",3,Dry,19 - 24,0,produk tuh bagus banget ngelembabin gtu tp muka gak cocok timbul jerawat btw kulit sensitif banget beli an sekrng preloved pake x shopee k aja serius
19,Hada Labo,Perfect 3D Gel,Vionamarcelina,Not Recommend,2020-08-29,"Beli ini karena aku cocok banget pake moisturizer hada labo. Banyak bgt yg bilang hadalabo ini dupe nya illamasqua dengan harga yang super affordable. Tapi ternyata di aku malah kurang cocok. Abis pake malah jadi beruntusan, jadi langsung stop pake",4,Combination,19 - 24,1,beli cocok banget pake moisturizer hada labo bgt yg bilang hadalabo dupe nya illamasqua harga super affordable nyata cocok abis pake beruntus langsung stop pake
20,Hada Labo,Perfect 3D Gel,domokyun,Not Recommend,2020-08-22,"Waktu masa awal trial and error skincare, hada labo merupakan merk yang jadi incaranku dan tentu saja Perfect 3D Gel ini tidak luput dari incaran. Dengan embel-embel super melembapkan karena memiliki kandungan empat jenis Hyaluronic Acid, Arbutin, dan Niacinamide, serta ... Read more",3,Oily,25 - 29,0,trial and error skincare hada labo rupa merk incar perfect d gel luput incar embelembel super lembap milik kandung jenis hyaluronic acid arbutin niacinamide read more
21,Hada Labo,Perfect 3D Gel,mariaangelica12345,Not Recommend,2020-08-21,"Awal awal aja sih sama aku yg bagus makenya, udh lama lama kayaknya dia menimbulkan kegatalan di wajah gitu, pdhl udh ringan katany bingung banyak yg bilang ini bagus tapi di aku enggakk bingung nyari moisturizer yang mana lagi, masih banyak isinya terlantar bgitu saja",3,Combination,19 - 24,0,aja sih yg bagus makenya udh kayak timbul gatal wajah gitu pdhl udh ringan katany bingung yg bilang bagus enggakk bingung nyari moisturizer isi lantar bgitu
22,Hada Labo,Perfect 3D Gel,nadiant,Recommend,2020-08-21,"Suka aja sih sama teksturnya yg gooey dan sensasinya dingin pas diaplikasiin, efek melembabkan ada, bangun2 kulit kenyal. Tapi setelah dipake tiap hari selama semingguan bikin komedoan parah di hidung sayang bgt. Aku rekomen utk kalian kalau pakai ini kalau bisa peeling ... Read more",3,Dry,25 - 29,0,suka aja sih tekstur yg gooey sensasi dingin pas diaplikasiin efek melembabkan bangun kulit kenyal dipake minggu bikin komedoan parah hidung sayang bgt rekomen utk pakai peeling read more
23,Hada Labo,Perfect 3D Gel,singularityy,Recommend,2020-08-21,"Ini cream malam unik bgt, teksturnya kayak slime gitu, aku pake ini baru 5 kali kalo ga salah inget wkwk, dia lengket gitu di muka dan ada rasa cekit cekit kalo kena jerawat atau bekasnya yg meradang. Yg aku liat hasil pemakaian cream ini dia buat bekas jerawatku yg PIE ... Read more",5,Combination,18 and Under,1,cream malam unik bgt tekstur kayak slime gitu pake kali kalo ga salah inget wkwk lengket gitu muka cekit cekit kalo kena jerawat bekas yg radang yg liat hasil pakai cream bekas jerawat yg pie read more
24,Hada Labo,Perfect 3D Gel,virna99,Recommend,2020-08-20,"first impression aku pake, teksturnya unik bgt gel bening klo disentuh awalnya kaya jelly yang baru mau jadi hehe unik tapi pas diambil gel nya aga berubah jadi kaya liquid gt pokonya unik, dan ada sensasi dingin pas dipake di muka pas awal apply, awalnya aga lengket ta ... Read more",5,Combination,25 - 29,1,first impression pake tekstur unik bgt gel bening klo sentuh kaya jelly hehe unik pas ambil gel nya aga ubah kaya liquid gt poko unik sensasi dingin pas dipake muka pas apply aga lengket ta read more
25,Hada Labo,Perfect 3D Gel,dhitachi,Recommend,2020-08-19,"Teksturnya gel bening, mirip gel lidah buaya. Dingin ketika digunakan di kulit, ada sisa lengket2 tapi tidak lama. Saya pakai malam2 pas mau tidur, pagi2 harinya kulit berasa halus dan lembut, twkstur kasar2 ilang aja gitu. Enak sih.. produk hada labo jarang ada yg gaga ... Read more",4,Combination,30 - 34,1,tekstur gel bening gel lidah buaya dingin kulit sisa lengket pakai malam pas tidur pagi kulit asa halus lembut twkstur kasar ilang aja gitu enak sih produk hada labo jarang yg gaga read more
26,Hada Labo,Perfect 3D Gel,ratnabizzle,Recommend,2020-08-18,"Ini tuh bagus bgt di kulitku yg oily acne prone. Bahkan kalo ada jerawat pun, sekarang aku bodo amat, gamau pake obat totol lagi. Krn pake ini jg ntar jerawatnya kempes sendiri. Trus dia bkin lembab, sama cerah juga, dan ga greasy.",5,Oily,19 - 24,1,tuh bagus bgt kulit yg oily acne prone kalo jerawat bodo gamau pake obat totol krn pake jg ntar jerawat kempes trus bkin lembab cerah ga greasy
27,Hada Labo,Perfect 3D Gel,putrisukma24,Not Recommend,2020-08-17,"teksturnya unik gitu kya gel dan jadinya pas diambil agak susah sih karena setelah di colek dia bisa aja jatuh lagi ke wadahnya kalau ga cepat-cepat di aplikasikan ke kulit, setelah diaplikasikan enak sih cuma krna dia agak lengket itu ga cocok kalau dalam ruangan yang ... Read more",4,Combination,19 - 24,1,tekstur unik gitu kya gel pas ambil susah sih colek aja jatuh wadah ga cepatcepat aplikasi kulit aplikasi enak sih krna lengket ga cocok ruang read more
28,Hada Labo,Perfect 3D Gel,neysarahmaf,Recommend,2020-08-16,"I think this might be my holy grail! Setelah sebulan pemakaian udh terlihat hasilnya kalau kulitku jadi nggak gampang minyakan dan lebih halus di keesokan paginya. Biasanya aku cuma pake hydrating toner & besoknya minyakan terutama di hidung. setelah pakai ini, jadi leb ... Read more",5,Combination,19 - 24,1,i think this might be my holy grail pakai udh lihat hasil kulit nggak gampang minyak halus esok pagi pake hydrating toner besok minyak utama hidung pakai leb read more
29,Hada Labo,Perfect 3D Gel,noirkv,Not Recommend,2020-08-15,"baru sekali pakai, besoknya langsung tumbuh jerawat gede gitu huhu padahal naruh ekspektasi banget karena review di kulit kombinasi lumayan bagus :(( teksturnya juga agak lengket pas diaplikasikan ke muka, kurang suka packaging nya juga :((",2,,18 and Under,-1,pakai besok langsung tumbuh jerawat gede gitu huhu naruh ekspektasi banget review kulit kombinasi lumayan bagus tekstur lengket pas aplikasi muka suka packaging nya
30,Hada Labo,Perfect 3D Gel,Sofia_Dj,Recommend,2020-08-08,"Aq baru bs review skrng. stelah skian lama coba..dia ga masalah dikulitku. mlh bner2 bkin cerah, moist lembab dan garis2 halus agak memudar alhamdulillah. dan yg terpenting dia bs bantu pemulihan bruntusanku yg iritasi. skrng udh mulai mngering dan hadalabo 3D gel ini m ... Read more",5,Normal,40 - 44,1,aq bs review skrng stelah ski cobadia ga kulit mlh bner bkin cerah moist lembab garis halus pudar alhamdulillah yg bs bantu pulih bruntusanku yg iritasi skrng udh mngering hadalabo d gel m read more
