,Review
0,Jujur excited bgt cobain produk ini karena kandungannya oke dan harganya super super affordable! Pas abis pake kulit enaaaak bgt rasanya bener2 soft and supple tp aku sedikit keluar beruntusan jd agak sad.. mungkin kl di terusin terus jadi oke
1,"Memakai raiku night cream ini cocok rasanya di muka aku, ga ada keluhan apapun, hanya sedikit agak kering kalo bangun tidur pagi, kemasan tube jadi lebih higienis"
2,"Iseng nyari anti aging cream produk lokal dan kebetulan lagi diskon jadi ga ragu buat nyoba, setelah abis 1 tube ini baru berani review, dan ga begitu berpengaruh dimuka. Untuk efek lembab agak dapet sih, that’s all."
3,"Suka banget sama night cream ini. Teksturnya lembut, mudah menyerap. Dan ternyata bisa bikin kulit wajah agak cerahan. Kulit juga lumayan kenyal dan pastinya gak bikin bruntusan"
4,Krimnya warna putih tanpa wangi spesifik. Teksturnya seperti night cream pada umumnya yg cukup thick tapi mudah diratakan. Sayangnya di kulitku yg kering lembabnya kurang. Untuk efek anti aging di 1 tube habis belum terasa. Prosnya di kemasan yg flip cap jd travel friendly. Mungkin..
5,"ga cocok untuk kulit kering q sepertinya. setelah sebulan pake malah bikin makin kering, area mulut dan hidung jd kaya ada kerak gtu. bagusnya sih produk ini ga ada aroma wangi dah gtu ga bikin panas waktu diaplikasikan."
6,"nyoba produk ini karena nyari anti aging yang halal dan murah, tapi harga memang bersuara, sepertinya nggak berpengaruh apa-apa di muka, malah membuat wajahku kusam."
7,"Aku udah pake 2 tube, tp sejauh ini hasilnya so so aja, cukup melembabkan tp gak mengurangi garis-garis usia di wajah aku. Aku pake barengan sama serum dan cream siangnya."
8,"Awal nya aku pikir night cream nya ini bakalan B aja , ternyata ya ini okeh juga ! . Kandungan utamanya ada Niacinamade, Collagen, dan Milk . . Tekstur creamnya semi semi gel gitu, gampang banget menyerap, ringan juga , dan gak lengket. Wanginya soft Dikemas dalam tube flip flop .."
9,"Penasaran cobain Raiku setelah baca-baca beberapa review yang bilang bagus. Pakai ini setelah toner dan serumnya. Ga lengket dan tidak berminyak di kulit. 5 malam pakai, belum ada efek apapun sih, tapi so far jg ga bikin iritasi atau jerawatan"
10,"Night cream ini bgus bgt tekstur nya jg lembut and soft bgt bau nya jg tidak terlalu menyengat dan ini cocok bgt si di kulit aku yang berminyak, dan juga mencerahkan（＾ω＾）"
11,Enak sih gampang nyerap di kulit. Trus murah jg pas lagi promo tapi blm terlalu ngaruh di kulit aku. Pernah aku pakai habis serum loreal tuh bsknya ada jerawat kecil. Kalau dipakai tanpa serum aman2 aja.
12,"setelah pemakaian 2 tube product ini dan rangkaian yang lainnya (day cream & serum) hasil yang aku rasain hanya moisturized enough.. untuk hasil lainnya, ga terlalu berpengaruh ya di kulit akuu... eventhough ga breakout & purging di aku.. untuk harga sangat bersahabat yaaa.. bisa d.."
13,"sejujurnya diawal salah beli karna niatnya mau beli yg brightening eh jadi yg anti aging. tapi ini works dikulit aku. pas bangun tidur ga bikin wajah minyakan banget tapi tetep kasih efek lembab, wajah jadi lebih kencang dan halus sampe kaget sendiri mungkin karena kandungan kolage.."
14,"Awalnya beli produk ini karena pacakgingnya lucu dan kandungan bahannya oke, tapi pas dipake termyata ga cocok di aku dan langsung bruntusan padahal aku beli macem² produk dari raiku tapu ga ada yg cocok"
15,"Overall lumayan bagus, ga bikin breakout di kulitku yg oily acne prone, teksturnya juga enak buat dipake setelah serum. Tapi untuk hasil udah pake setengah botol belum ada perubahan yg signifikan sih mungkin hasilnya baru keliatan kalau udh beberapa botol karena dia sifatnya anti a.."
16,"Beli udah lama tp baru sempet review, aku pake product ini bener nglembabin wajah aku. sesuai sama claim nya sih membantu menyamarkan noda hitam, membantu kulit terasa lebih kenyal. Tapi product ini gabisa mencerahkan wajah aku sejauh ini."
17,"Sepertinya aku nggak cocok pakai night cream ini. Setelah beberapa kali pemakaian di wajahku muncul beberapa jerawat (bukan karena bulanan). Untuk efeknya nggak terlihat juga di wajahku, misalnya lebih mencerahkan atau gimana. Untuk packaging oke, aman dan higienis. Tekstur krim no.."
18,"sebenernya emang ga begitu suka sama moisturizer apapun krn lebih suka yg teksturnya ringan kaya serum. cuma penasaran banget coba krim dr brand raiku karena namanya unik wkwk packagingnya juga lucu, dan produk local😍 di aku cukup cocok sih. pas ada kandungan niacinamide nya, tp d.."
19,"Ini merupakan moisturizer pertamaku yang lebih konsentrasi pada anti aging. Kemasan tube seperti ini merupakan kemasan yang aku suka karena mudah dibawa kemana-mana, serta fit in my pouch. Teksturnya seperti gel putih dan wanginya hampir tidak ada, saat diaplikasikan sangat ringan .."
20,"Aku udah botol ke tiga, dari semua merk yg kucoba ini paling nampol aku beli satu series untuk anti aging. bikin wajah bener2 keadaan baik. sampai saat ini tetep pake bener2 super luv. packaging lebih baik dr pada dulu yg pake pipet"
21,Akhirnyaaa setelah ganti2 krim malam nemu yang cocok juga. Tekstur lebih ringan dibanding krim pagi. Rutin pakai efek jadi lebih terasa. Two thumbs untuk raiku👍👍
22,pokoknya suka smua produk dr raiku🥰🥰 Alhamdulilah cocok dimukaku. wanginya enak. melembabkan. bangun tidur jd glowing digosok2 bukan krn minyak lho. pokoknya aku suka n cocok pake produk raiku yg anti-aging
23,Suka sekali menggunakan krim malam ini Karena paginya kulitku terasa lebih kenyal dan lembab. Mampu menyamarkan garis halus atau kerutan di dahi dan juga di sekitar area mata
24,"Krim anti aging pertama yang aku beli daaaan suka bangeeeett!! Pertama kali pakai langsung rangkaian sama anti agimg serumnya, besok paginya kulit jadi kenyal&moist. Krimnya pun cepat menyerap ketika digunakan, terus juga ngga berbau menurutku. Basically aku belum merasa ada garis .."
